Indian_medicinal_plant,Plant_part,IMPPAT_Phytochemical_identifier,Phytochemical_name,References
Curcuma aromatica,rhizome,IMPHY014852,Camphene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY014876,7-epi-cis-Sesquisabinene hydrate,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY014907,6-Epi-beta-bisabolol,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY014988,Limonene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY014990,Linoleic acid,ISBN:9770972795006
Curcuma aromatica,rhizome,IMPHY015022,Nerolidol,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY015123,alpha-Copaene,DOI:10.1002/ffj.2730040106
Curcuma aromatica,rhizome,IMPHY016012,Allo-Aromadendrene,DOI:10.1002/ffj.2730070105
Curcuma aromatica,rhizome,IMPHY017883,"(4S,5S)-Germacrone-4,5-epoxide",ISBN:9788172362133
Curcuma aromatica,whole plant,IMPHY006214,"Germacr-1(10)-ene-5,8-dione",ISBN:9788172360481
Curcuma aromatica,,IMPHY000060,Myristic acid,ISBN:9770972795006
Curcuma aromatica,,IMPHY000636,Graminone B,ISBN:9788185042114
Curcuma aromatica,,IMPHY001430,"Bicyclo(4.1.0)heptan-3-one, 1-methyl-4-(1-methylethylidene)-7-(3-oxobutyl)-, (1S,6R,7R)-","ISBN:9788172362140, ISBN:9788185042114"
Curcuma aromatica,,IMPHY002232,Acetoxyneocurdione,ISBN:9788185042145
Curcuma aromatica,,IMPHY002533,(-)-beta-Curcumene,ISBN:9780387706375
Curcuma aromatica,,IMPHY002550,Neoprocurcumenol,ISBN:9788185042145
Curcuma aromatica,,IMPHY002576,Isocurcumadione,ISBN:9788185042145
Curcuma aromatica,,IMPHY002626,"(6Z)-6,10-dimethyl-3-propan-2-ylidenecyclodec-6-ene-1,4-dione","ISBN:9788172362140, ISBN:9788185042138"
Curcuma aromatica,,IMPHY002803,"2,3,5,6-Tetramethylpyrazine",ISBN:9788172362140
Curcuma aromatica,,IMPHY003768,"4,10-Epizedoarondiol",ISBN:9788185042138
Curcuma aromatica,,IMPHY003769,"(1S,3abeta,8abeta)-Octahydro-1beta,4beta-dihydroxy-7-isopropylidene-1,4-dimethylazulen-6(5H)-one","ISBN:9788172362140, ISBN:9788185042138"
